Timestamp,[.] Pregistration Choice 1,[.] Pregistration Choice 2,[.] Pregistration Choice 3,[.] Pregistration Choice 4,[*] Pregistration All Choice,[.] Choice 1 Attendance,[.] Choice 2 Attendance,[.] Choice 3 Attendance,[.] Choice 4 Attendance,[*] Attendance All Choices,[.] Participant Role,[.] Belonging Planning Unit,[.] Belonging Department,[.] Belonging Division,[.] Just to see the column alone
7/20/15 21:40,Security Incident Analysis & Response -- Eric Bartel & Satya P.,External Threat Intelligence --Byron Thatcher,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,Innovation on Data Centers -- David Nalley (External),Security Incident Analysis & Response -- Eric Bartel & Satya P.,Security Incident Analysis & Response -- Eric Bartel & Satya P.,External Threat Intelligence --Byron Thatcher,Combinatorial Testing -- Jerry Kickenson,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Staff,Technology Management,OSS Network Dev/Maint,IT,TechDay
7/20/15 22:23,My Standards (Webex) -- Nicolas Ernotte,Distributed Ledgers -- Jerry Kickenson,Business Intelligence -- Pieter Camps,Open Stack -- Michael Solberg (Red Hat),My Standards (Webex) -- Nicolas Ernotte,Innovation on Data Centers -- David Nalley (External),Distributed Ledgers -- Jerry Kickenson,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Innovation on Data Centers -- David Nalley (External),Staff,Messaging Solutions,Security Infrastructure Development,IT,TechDay
7/20/15 22:39,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Innovation on Data Centers -- David Nalley (External),More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Internal Audit -- Bradly Vancamp,Security Incident Analysis & Response -- Eric Bartel & Satya P.,,,,,,Staff,Technology Management,Product Assurance & Certification,IT,TechDay
7/20/15 22:47,New Payment Platform -- Kumar Venkataramiah,Business Intelligence -- Pieter Camps,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Innovation on Data Centers -- David Nalley (External),New Payment Platform -- Kumar Venkataramiah,Innovation on Data Centers -- David Nalley (External),Distributed Ledgers -- Jerry Kickenson,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Innovation on Data Centers -- David Nalley (External),Staff,Messaging Solutions,Database Systems,IT,TechDay
7/20/15 22:55,Block Chain -- Deepak Janardhanan,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Business Intelligence -- Pieter Camps,My Standards (Webex) -- Nicolas Ernotte,Block Chain -- Deepak Janardhanan,Business Intelligence -- Pieter Camps,Block Chain -- Deepak Janardhanan,,,Business Intelligence -- Pieter Camps,Staff,DA & FIN Delivery,SCP - UNN,IT,TechDay
7/20/15 23:24,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,External Threat Intelligence --Byron Thatcher,Business Intelligence -- Pieter Camps,Distributed Ledgers -- Jerry Kickenson,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,,,,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,,Staff,Messaging Solutions,Messaging Integration,IT,TechDay
7/20/15 23:50,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Innovation on Data Centers -- David Nalley (External),Security Incident Analysis & Response -- Eric Bartel & Satya P.,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,Security Incident Analysis & Response -- Eric Bartel & Satya P.,External Threat Intelligence --Byron Thatcher,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Staff,Technology Management,OSS Tools Dev/Maint,IT,TechDay
7/21/15 1:31,Business Intelligence -- Pieter Camps,External Threat Intelligence --Byron Thatcher,Distributed Ledgers -- Jerry Kickenson,My Standards (Webex) -- Nicolas Ernotte,Business Intelligence -- Pieter Camps,,,Internal Audit -- Bradly Vancamp,,,Staff,Internal Audit,Americas Audit,Internal Audit,TechDay
7/21/15 14:04,New Payment Platform -- Kumar Venkataramiah,Internal Audit -- Bradly Vancamp,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Self Cleaning Intrusion Tolerance -- Jerry Kickenson,New Payment Platform -- Kumar Venkataramiah,,New Payment Platform -- Kumar Venkataramiah,,Containers -- Red Hat (External),,Staff,Technology Management,OSS Network Dev/Maint,IT,TechDay
7/21/15 15:45,Monolithic Architecture to MicroServices -- Hadrian Zbarcea,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Self Cleaning Intrusion Tolerance -- Jerry Kickenson,Innovation on Data Centers -- David Nalley (External),Monolithic Architecture to MicroServices -- Hadrian Zbarcea,,,,,,Manager,Technology Management,OSS Foundation & Security Dev/Maint,IT,TechDay
7/21/15 15:47,Containers -- Red Hat (External),Open Stack -- Michael Solberg (Red Hat),Innovation on Data Centers -- David Nalley (External),More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Containers -- Red Hat (External),Innovation on Data Centers -- David Nalley (External),Distributed Ledgers -- Jerry Kickenson,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Innovation on Data Centers -- David Nalley (External),Manager,Application Service Delivery,System Administration Team,Operations,TechDay
7/21/15 15:55,Containers -- Red Hat (External),Open Stack -- Michael Solberg (Red Hat),Distributed Ledgers -- Jerry Kickenson,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Containers -- Red Hat (External),,,,,,Staff,Application Service Delivery,System Administration Team,Operations,TechDay
7/21/15 17:09,Combinatorial Testing -- Jerry Kickenson,Innovation on Data Centers -- David Nalley (External),Distributed Ledgers -- Jerry Kickenson,Business Intelligence -- Pieter Camps,Combinatorial Testing -- Jerry Kickenson,,,,,,Staff,Messaging Solutions,Messaging Projects,IT,TechDay
7/21/15 18:26,Innovation on Data Centers -- David Nalley (External),Monolithic Architecture to MicroServices -- Hadrian Zbarcea,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Innovation on Data Centers -- David Nalley (External),Security Incident Analysis & Response -- Eric Bartel & Satya P.,External Threat Intelligence --Byron Thatcher,Open Stack -- Michael Solberg (Red Hat),Containers -- Red Hat (External),Security Incident Analysis & Response -- Eric Bartel & Satya P.,Staff,Application Service Delivery,System Administration Team,Operations,TechDay
7/21/15 23:34,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Block Chain -- Deepak Janardhanan,Combinatorial Testing -- Jerry Kickenson,Business Intelligence -- Pieter Camps,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Block Chain -- Deepak Janardhanan,,More than Testing.. w/ Docker -- Otmane Benali & Alex Zbarcea,Security Incident Analysis & Response -- Eric Bartel & Satya P.,Staff,FIN Service Delivery,FIN Service Delivery,Operations,TechDay
